user_id,book_id,rating
9,60,5
9,119,4
15,167,5
15,119,5
18,60,3
18,119,4
18,3219,3
18,3202,4
24,2586,4
22,176,5
22,232,2
24,60,2
34,232,4
22,1018,5
22,2299,2
22,2382,3
31,1018,4
31,2382,3
31,2299,3
31,612,4
31,725,3
31,232,4
50,217,4
24,119,4
46,672,5
46,3229,5
46,8215,5
46,7619,5
46,671,5
46,5665,5
46,6512,5
46,5505,5
46,9116,5
46,9494,5
46,6211,5
46,7006,5
46,3752,5
46,6212,5
55,217,3
34,60,2
65,176,5
65,612,4
65,232,5
70,7022,3
59,6921,4
75,9854,3
76,60,4
25,8455,4
38,8455,4
59,60,2
54,217,4
63,8455,5
58,6921,4
89,7266,5
78,4106,4
94,6921,4
40,60,3
45,60,5
45,6921,3
100,6772,5
100,8455,3
100,5911,3
26,2869,4
26,3219,4
89,119,2
105,167,3
105,725,4
105,176,4
105,232,5
105,612,3
80,198,3
112,4047,5
112,9768,5
113,7647,5
113,119,5
113,356,4
86,6921,5
116,1444,5
124,2944,3
86,6772,5
126,217,4
126,60,3
124,7266,3
86,7022,4
125,3844,5
122,7022,3
137,60,4
22,167,4
22,119,4
56,7008,4
137,7266,4
149,198,5
149,5330,4
149,3202,4
149,8103,4
149,789,5
149,3133,3
149,167,3
149,217,4
149,316,5
151,119,3
156,119,4
158,612,4
158,232,4
158,176,3
158,725,3
143,2089,2
108,119,2
108,6533,3
136,6892,5
136,7008,5
136,4763,2
167,3106,5
164,217,5
115,5571,3
177,316,4
180,8608,3
180,7158,2
180,7053,2
180,8431,2
136,8309,5
112,8662,5
112,119,5
112,60,4
167,6892,4
178,119,4
171,4763,3
184,2098,5
177,60,5
185,1444,5
185,60,4
187,198,5
171,1486,4
171,5399,5
112,2555,5
168,5911,4
168,167,1
168,3133,2
168,119,4
106,6772,4
191,7266,5
194,9626,5
194,2098,5
194,3202,5
194,5330,5
194,3133,3
194,7022,4
143,7794,4
199,5969,2
10,217,4
10,2089,2
10,4363,4
179,316,2
184,176,4
194,167,5
194,60,3
203,986,2
219,5315,4
220,167,3
223,217,4
228,119,4
206,2098,3
228,7266,4
229,60,5
219,3133,5
212,60,2
232,7022,3
232,2098,3
232,2869,5
232,3106,5
179,356,3
239,316,5
239,60,2
232,4103,5
137,1277,4
194,5911,4
116,176,3
240,6579,4
240,7654,5
240,4287,5
240,5691,5
240,8552,5
116,3133,4
242,198,5
247,60,3
212,5315,4
212,232,3
116,2098,4
116,3202,5
246,176,3
248,7794,4
237,7266,4
247,217,4
247,119,4
258,5969,4
258,217,4
247,974,5
247,198,5
257,3133,2
162,356,1
263,3366,4
263,60,4
265,60,4
257,60,5
207,356,3
207,873,3
207,1977,4
207,1225,3
207,1163,3
207,1289,3
207,1233,3
207,1827,3
207,1033,3
207,1549,3
207,1476,3
207,1774,3
207,1975,3
264,8455,3
269,60,3
242,8538,5
274,217,4
124,60,4
21,8455,3
21,6772,4
206,198,5
176,8455,4
247,2129,4
283,60,3
286,356,1
286,5930,5
243,7266,4
287,2089,2
174,217,5
296,176,2
296,4642,4
215,60,4
298,60,5
298,4055,5
215,2129,4
174,60,2
28,60,3
215,198,4
247,6505,4
300,6921,1
303,4079,5
303,316,5
215,4237,2
320,167,4
324,725,4
324,1725,4
324,4106,4
324,3375,4
258,60,5
258,119,5
22,8142,3
330,1555,3
332,119,4
322,3699,4
300,6772,4
304,7022,3
345,119,3
345,5969,3
345,176,3
345,60,4
319,1476,4
319,1549,4
319,974,4
347,9995,4
270,4079,4
347,2098,3
352,217,4
187,60,5
340,5906,4
340,3106,3
340,4106,3
131,6772,5
304,6772,4
304,6921,3
9,217,3
344,60,4
344,5330,4
344,3202,4
344,2098,4
344,3133,4
344,1444,5
344,4055,5
344,2869,5
344,119,4
286,612,2
286,986,2
361,9923,5
361,612,4
362,4106,4
175,2089,3
364,119,5
364,7647,3
361,672,3
340,2129,4
155,6772,4
337,1725,4
337,1486,4
337,2555,4
337,4047,4
337,8662,4
370,6130,4
370,4062,5
303,9995,3
375,316,5
322,5802,4
379,9397,5
379,3133,5
332,6212,4
332,167,3
287,176,4
287,2470,5
287,2501,5
287,2109,5
287,2718,5
287,2944,4
385,60,3
320,2299,4
320,2382,4
320,1018,4
320,1964,4
331,3431,3
331,119,5
388,356,3
389,60,5
389,217,4
301,2944,4
301,2718,4
301,2470,4
301,403,4
337,3844,4
304,1725,3
301,1693,5
301,9429,4
387,60,3
372,2299,3
372,1018,4
372,1964,3
399,60,4
399,217,3
18,2098,4
18,3133,3
18,5330,4
385,6158,4
385,4471,3
403,60,3
396,217,1
396,9854,1
396,3219,2
94,1725,3
395,119,3
406,7459,4
187,7458,4
300,8455,4
226,8819,5
401,4103,3
399,672,4
333,8455,5
366,217,2
439,6533,2
320,198,5
131,8455,3
131,469,2
444,4106,4
444,5155,5
446,198,4
446,60,4
446,986,3
446,217,3
90,7771,5
447,356,4
447,873,4
447,1033,3
453,2098,4
453,119,4
453,198,3
453,6772,4
183,60,3
455,612,5
455,3366,5
456,7266,2
456,316,4
463,5155,5
131,60,2
420,4106,2
420,6234,1
420,2098,4
420,4055,5
420,2869,3
420,316,4
420,4079,4
420,217,4
420,2129,3
420,198,3
481,3133,4
485,8309,4
487,119,5
487,462,5
488,316,5
475,914,5
475,974,5
466,5615,4
495,60,4
495,7771,5
63,6772,5
499,60,4
499,3202,4
499,5330,3
497,2555,4
497,4047,5
497,7145,4
497,8662,5
497,119,4
497,316,4
497,217,3
458,672,3
458,671,4
490,4103,4
490,2098,4
490,3202,3
490,5330,3
449,4163,4
506,198,4
506,5906,4
506,8309,3
506,119,3
506,60,4
462,9768,3
513,9995,2
475,7022,3
65,167,5
513,316,1
516,914,4
516,974,4
516,60,4
155,1725,3
473,3802,4
517,60,2
517,5330,5
519,1486,3
26,5399,5
330,2129,4
531,60,4
531,119,5
532,60,4
533,4237,3
533,232,4
535,232,5
530,4429,5
535,176,5
535,60,5
516,403,4
537,198,5
540,672,4
540,7619,4
540,6512,4
540,3229,4
540,6212,4
540,9116,4
531,5906,5
535,167,5
535,612,5
535,725,5
530,6775,4
458,316,4
546,672,4
546,5330,5
546,3133,3
547,119,5
547,198,4
547,4363,3
547,60,4
547,2555,3
544,60,5
267,7794,2
503,60,4
554,725,4
554,232,2
554,7266,5
549,6055,3
549,2089,4
558,7994,5
558,3122,5
543,356,5
543,873,5
543,1033,5
543,1163,4
543,1225,5
543,1289,4
543,1233,4
543,1827,4
543,1549,3
543,1476,4
543,1774,4
543,1975,3
543,1977,3
563,6505,5
447,5906,4
200,3699,5
473,60,3
564,7266,3
566,60,5
543,974,3
475,2129,4
463,1018,5
573,5315,3
574,60,2
574,4763,5
530,356,5
574,217,3
578,3291,4
485,60,5
516,9995,1
333,4103,5
554,469,2
580,7994,3
580,2869,3
538,2089,4
538,6579,4
555,5668,4
555,5934,4
555,6153,4
264,6916,3
513,6267,2
513,403,3
585,119,4
592,7266,5
592,244,5
589,176,5
589,612,3
589,725,3
589,986,3
114,8455,3
497,4429,3
579,672,4
603,1277,3
529,4055,3
607,2470,3
607,2944,3
607,2109,4
607,2718,3
529,176,3
529,2129,5
607,789,3
607,974,3
562,60,5
608,60,4
554,789,3
605,60,1
599,316,3
599,672,4
599,6189,4
599,7081,4
616,672,3
539,3133,5
626,3106,5
618,356,3
618,986,2
322,5315,3
628,60,2
610,5522,4
610,3042,3
610,4089,3
632,4429,2
415,5583,3
632,9214,4
632,9793,4
634,2098,3
639,217,3
639,316,4
190,5483,5
190,217,5
639,119,3
643,119,4
637,60,4
234,176,4
610,4083,3
595,316,4
595,4079,3
595,4493,4
648,60,4
653,198,3
653,789,3
653,60,4
654,6406,5
654,3399,5
656,60,4
654,60,5
654,4429,5
654,4047,4
658,232,5
658,612,3
498,119,4
84,8902,2
25,5911,5
486,986,2
486,316,5
486,4047,5
486,8662,4
486,60,1
670,672,4
670,6512,4
670,671,4
670,5665,4
670,6211,4
670,5505,4
679,176,3
590,1555,2
488,403,3
218,217,5
684,316,5
684,217,3
628,4616,5
628,5799,5
628,7158,3
628,7348,5
628,8431,4
628,8608,4
628,7053,4
688,176,5
688,232,4
688,725,3
688,986,4
688,974,5
691,1931,5
691,1418,5
691,1693,5
691,389,5
691,565,5
699,60,3
699,4526,5
698,60,3
349,4106,3
688,3133,4
428,6267,4
428,5522,4
239,119,5
706,4237,4
706,4363,3
412,7771,4
663,60,4
710,9429,2
663,119,3
710,974,4
712,60,4
715,60,5
669,6293,3
718,5911,5
718,462,5
699,1444,3
699,4103,4
726,3106,4
725,2089,4
725,119,5
725,2869,5
731,672,5
731,2555,4
731,3752,4
394,244,2
735,2098,3
670,60,4
695,60,3
253,2089,4
741,789,4
741,2109,4
741,2470,4
741,2501,4
741,2944,3
741,2718,3
11,7794,4
738,9903,4
738,403,4
738,167,5
744,5554,4
744,356,4
744,1033,2
744,1163,3
744,1225,4
744,873,3
744,1289,4
744,1233,3
744,1549,3
744,1975,3
744,1977,4
744,1827,3
744,789,4
744,9626,4
738,9626,4
745,119,4
253,60,4
749,60,3
751,60,4
752,217,4
759,60,3
714,6533,1
745,9854,2
763,2089,3
764,60,4
765,60,3
682,7959,2
682,7721,2
682,6293,5
55,4429,3
770,60,4
749,176,3
624,119,5
781,2718,4
781,167,4
555,3122,2
624,198,3
757,6533,3
790,60,4
779,2129,5
779,167,3
793,8455,3
782,2129,4
806,316,3
810,60,3
811,1444,3
809,9525,4
809,9609,5
809,2109,3
809,2501,3
809,2470,4
809,2944,5
809,2718,5
809,176,5
809,612,5
809,232,5
809,725,4
809,986,3
813,217,3
806,2098,3
806,3202,5
806,5330,5
806,3133,3
759,2089,3
253,2129,4
814,4103,5
810,8033,5
819,176,4
819,612,5
819,232,4
819,725,5
819,986,5
819,4642,5
809,167,5
822,60,4
623,2555,3
623,4047,4
623,9768,3
623,8662,4
480,5155,3
497,2089,4
830,60,3
830,119,4
830,2501,5
830,2109,4
830,2470,4
830,2944,4
830,2718,4
830,3291,4
830,5554,4
830,7258,4
643,986,3
830,789,3
